Centre ID,Linac Manufacturer,Linac Model,Linac_ID,Date,Measurement Device,OP Dif (%),Recording,Comments
2,Varian,2100CD,12,02/01/2015 07:50,Linacheck,-0.3,Database,
2,Varian,600,14,02/01/2015 08:04,Linacheck,-0.25,Database,
2,Varian,2100CD,16,02/01/2015 08:21,Linacheck,0.1,Database,
2,Varian,600,13,02/01/2015 08:21,Linacheck,-1.7,Database,
2,Varian,2100CD,17,02/01/2015 08:23,Linacheck,0,Database,
2,Varian,2100CD,10,02/01/2015 08:24,QA3,0.11,Database,
2,Varian,2100CD,15,02/01/2015 08:25,Linacheck,1.55,Database,
2,Varian,TrueBeam,18,02/01/2015 08:30,Linacheck,-0.25,Database,
2,Varian,TrueBeam,20,02/01/2015 08:38,Linacheck,-0.35,Database,
2,Varian,2100CD,11,02/01/2015 08:41,Linacheck,-0.6,Database,
2,Varian,TrueBeam,19,02/01/2015 09:10,QA3,0.28,Database,
2,Varian,2100CD,12,02/01/2015 16:51,Linacheck,-0.15,Database,
2,Varian,2100CD,12,03/01/2015 11:07,Linacheck,0.25,Database,
2,Varian,TrueBeam,20,05/01/2015 08:04,Linacheck,-0.3,Database,
2,Varian,TrueBeam,19,05/01/2015 08:07,Linacheck,-0.25,Database,
2,Varian,600,13,05/01/2015 08:09,Linacheck,-2,Database,
2,Varian,TrueBeam,18,05/01/2015 08:11,QA3,0.78,Database,
2,Varian,600,14,05/01/2015 08:19,Linacheck,-0.3,Database,
2,Varian,2100CD,15,05/01/2015 08:23,Linacheck,1.1,Database,
2,Varian,2100CD,12,05/01/2015 08:27,Linacheck,0.1,Database,
2,Varian,2100CD,10,05/01/2015 08:31,Linacheck,-0.3,Database,
2,Varian,2100CD,17,05/01/2015 08:32,QA3,-0.51,Database,
2,Varian,2100CD,16,05/01/2015 08:33,Linacheck,0.1,Database,
2,Varian,2100CD,11,05/01/2015 08:37,Linacheck,-0.85,Database,
2,Varian,2100CD,11,06/01/2015 07:58,Linacheck,-0.5,Database,
2,Varian,600,13,06/01/2015 08:05,Linacheck,-1.65,Database,
2,Varian,600,14,06/01/2015 08:13,QA3,-0.96,Database,
2,Varian,2100CD,15,06/01/2015 08:17,Linacheck,1.25,Database,
2,Varian,2100CD,12,06/01/2015 08:19,Linacheck,0.35,Database,
2,Varian,TrueBeam,20,06/01/2015 08:19,QA3,-0.94,Database,
2,Varian,2100CD,12,06/01/2015 08:19,Linacheck,0.35,Database,
2,Varian,2100CD,17,06/01/2015 08:27,Linacheck,0.2,Database,
2,Varian,2100CD,10,06/01/2015 08:31,Linacheck,-0.3,Database,
2,Varian,2100CD,16,06/01/2015 08:32,QA3,-0.75,Database,
2,Varian,TrueBeam,18,06/01/2015 08:36,Linacheck,0,Database,
2,Varian,TrueBeam,19,06/01/2015 09:05,QA3,0.83,Database,
2,Varian,2100CD,15,06/01/2015 17:32,Farmer Chamber in Water,1.27627658,Database,
