n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,70.0,37.9094450252,38.0962505421,41.8181121384,40.288873361,37.8674180514
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,70.0,40.0403612555,38.1946740991,38.3744417456,38.4227425308,37.8713718602
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,70.0,37.6606462971,37.7443714247,36.0375320525,34.864726474,38.5498644866
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,70.0,36.6768138588,36.365816388,35.4745077251,37.2565755933,35.5563943112
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,70.0,34.8666970921,35.3766445468,36.2326420297,36.1748934614,36.3481133612
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,72.0,45.5023042331,45.999497734,46.4456446674,47.4120215211,45.624002963
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,72.0,45.9103391253,45.7516429214,43.3225839653,45.3260314328,46.545669714
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,72.0,45.3904044517,43.8182686212,43.2366563178,44.7152013546,44.9521295858
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,72.0,42.8707525185,42.9160160921,43.6128777789,42.4769559692,43.8751866129
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,72.0,43.1121625948,45.0093116444,43.5324230338,43.1996075983,40.3081520255
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,74.0,48.7430555051,53.866474313,51.2372729481,52.7592133242,52.7205078901
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,74.0,52.1572509463,52.5337450725,50.8619647529,51.6475195564,52.8245811642
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,74.0,51.9474515592,51.4741276105,52.1480777496,51.2407168172,53.573978466
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,74.0,49.6729168472,50.3171868792,49.7620908212,49.9402843296,50.3909317145
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,74.0,49.4473728014,50.5541279857,49.5833091181,47.6431597888,49.5777288499
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,76.0,59.7731857246,56.6507042702,60.4807759342,59.3898085906,58.9129369656
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,76.0,59.1569273203,57.8612980441,58.6242705058,57.1889554561,57.6468495503
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,76.0,58.4034806148,55.2932398712,55.7743666489,58.7268985666,57.8371337225
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,76.0,56.4684722852,57.2102693937,55.6534349566,57.8625381404,57.671760395
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,76.0,53.9749096895,55.0985192865,56.1848736218,54.6268396335,54.0336937306
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,78.0,64.0415129679,64.0588203109,64.6629156888,65.9582899173,63.7223987769
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,78.0,65.2247209215,63.6452271057,63.852575418,65.4899741815,64.0204052495
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,78.0,63.0357973514,64.89437411,64.1936568664,63.6859556487,64.8820747428
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,78.0,62.9180656826,63.4852530729,63.0467230409,63.2556405573,62.8851495226
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,78.0,63.1240327205,62.1224128616,63.0777387855,61.9599625099,61.0921358398
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,80.0,69.4236584926,70.9743377685,69.4077305341,70.5567568481,68.5980620142
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,80.0,70.3011473097,69.9404309934,69.4434422792,69.0870734562,71.4099914451
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,80.0,68.8611172713,68.1276345797,68.9364851725,67.9921860639,69.0811891568
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,80.0,68.2811548917,68.5891556053,69.0376378506,66.3994982598,68.1036617645
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,80.0,67.7914461376,67.0665786686,67.5764842942,68.8880983213,67.5193836535
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,70.0,80.5249384037,81.0237209166,80.7940089996,81.13686544,80.229808444
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,70.0,80.984091412,79.5691240491,79.8445447571,80.4268802526,80.7187925565
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,70.0,79.7306951316,80.9219951511,78.8429183828,80.3433703446,79.1368504477
80.0,5.0,3.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,70.0,79.1562263708,78.6953154765,79.3011058306,78.7880420993,79.2364954219
