n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,64.0,30.9678921607,31.8097413235,32.1102013758,31.4568963142,30.667059076,31.9812519926,31.6246733867,31.3989423284,31.6342905082,31.651754586
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,64.0,30.7116302912,30.715220271,29.9902070594,30.5867539086,30.2152100203,31.4652218965,30.9484099074,30.6066132375,30.7940971674,32.035492009
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,64.0,29.8969830384,30.126158035,30.1380709155,29.0560881964,28.9189556806,29.3458474715,30.5070405402,29.2502350818,29.6626210252,29.9197432751
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,64.0,29.0959977578,27.5096318627,28.155789329,28.0195432764,29.4309437707,28.5638040331,28.6844331672,27.8801771941,27.719045209,28.0697776855
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,64.0,28.4709062932,28.6389300952,28.8639599716,26.2741833752,26.9864138223,27.8981297449,26.7757055789,28.1444501426,27.5848652497,28.0069632858
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,64.0,26.4495214943,26.8305973577,26.6013893286,26.5211444185,27.7251704051,28.1900123195,27.0214951922,25.9458390951,26.4051957399,27.0336484544
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,64.0,26.708909934,26.1147515155,26.363751981,25.5798592994,25.9458345824,26.4945130464,25.0295236229,26.4102223435,26.3906720947,26.1653237654
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,66.0,36.2878013012,35.0312245798,36.8347794676,37.1923188129,36.4172086974,35.0372728,37.3645699468,35.5003131264,35.4084520389,36.8243872215
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,66.0,35.7109070851,35.8429092249,35.5382859547,36.2485274785,34.7123354912,33.8467909995,36.0862471635,34.7180556665,35.8977128106,34.8324387358
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,66.0,34.7344056122,34.8970901435,35.1962386806,34.3788898104,33.6853692035,34.2875150448,33.7081585083,34.4002069169,33.5564073055,33.4772886201
1000.0,10.0,2.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,66.0,34.2346265054,34.3024511099,33.6926127032,32.9078345324,34.226116391,32.9282472859,33.1660416629,34.4236739426,32.7162630565,33.1654575003
