n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,150.0,100.0,64.0,30.3151738785,29.7194400264,30.6428698107,30.8643162019,30.547760016
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,150.0,100.0,64.0,31.4366040774,30.9495050782,31.056129018,30.3981394415,30.3837301155
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,155.0,100.0,64.0,30.2033749143,29.2980770041,30.6427389563,29.2334642745,29.1417581093
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,155.0,100.0,64.0,29.8992596401,28.3329615385,30.6059941595,30.0670282061,29.3262582591
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,160.0,100.0,64.0,27.5530943463,28.196973874,29.1386297574,28.6962969521,27.3731734575
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,160.0,100.0,64.0,27.4391840536,29.2122233653,29.3090272102,29.0128155224,29.2141006332
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,165.0,100.0,64.0,28.0020161753,27.9636061333,26.1453032146,27.3072538292,27.4912556663
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,165.0,100.0,64.0,29.3708054031,30.861152681,28.4861829537,27.6662280561,28.3217546876
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,170.0,100.0,64.0,27.5717424589,26.8760215622,27.0002562226,26.8177762996,27.1411004283
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,170.0,100.0,64.0,28.4531778611,27.3325939579,27.7489550577,28.4093710286,28.1697960619
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,175.0,100.0,64.0,25.8314193479,25.4871848718,25.1493479598,25.9109348198,25.0087386617
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,175.0,100.0,64.0,27.376813889,26.3371487533,28.0033041559,27.0755684649,26.080295702
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,180.0,100.0,64.0,24.6966886607,24.6465289449,25.1348984885,25.8132218351,24.6784926835
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,180.0,100.0,64.0,25.8345790358,26.2519887869,24.8618365374,28.0038224963,25.3947762103
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,150.0,100.0,66.0,35.8906188393,34.6128522768,35.6033023117,34.518754087,35.545653444
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,150.0,100.0,66.0,34.2051668299,33.3342030695,34.9679751479,32.7934560565,32.7853405851
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,155.0,100.0,66.0,34.3485290155,33.8633982359,34.2202038516,33.6081996119,34.3890659203
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,155.0,100.0,66.0,34.9045493778,32.9233340386,31.3938729106,33.3508231897,32.6316428721
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,160.0,100.0,66.0,33.5075373398,33.9869176052,33.3205442932,33.544527627,32.5983232631
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,160.0,100.0,66.0,32.4995327906,32.3447786637,32.5334757791,32.7106998265,31.46177293
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,165.0,100.0,66.0,32.3577110255,31.4319847375,32.3532268463,32.1908692105,33.3069101098
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,165.0,100.0,66.0,31.7261940962,31.7142815497,31.3724094584,32.4338579036,30.5790860583
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,170.0,100.0,66.0,31.2805656911,30.6035610073,31.164185912,31.3278970708,30.8886374423
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,170.0,100.0,66.0,32.0075929705,31.8805062001,32.4478459717,30.7714865244,31.1619979788
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,175.0,100.0,66.0,30.4963195246,30.4967214146,30.9704483577,29.9217410969,30.64696022
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,175.0,100.0,66.0,29.8728327809,31.5633004132,30.6413606148,30.0734751924,30.6606040834
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,180.0,100.0,66.0,29.4775656716,29.619015416,29.2614781061,29.2070257855,30.3080938516
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,180.0,100.0,66.0,29.9121741859,30.6551917024,29.9622038134,29.8605237511,30.5725793136
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,150.0,100.0,68.0,39.4013423138,40.5011379154,39.9164094186,39.6294010449,39.378325097
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,150.0,100.0,68.0,37.8567712714,38.8357786755,36.4108991497,37.3897264633,38.108858526
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,155.0,100.0,68.0,38.3150851921,39.3252484888,38.0358344782,39.5663638491,38.9514175486
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,155.0,100.0,68.0,37.7261385807,36.6541787265,36.1771873288,37.4177208048,36.4332400738
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,160.0,100.0,68.0,37.2384270456,38.4067312823,38.5343290236,38.1883861089,38.2192749528
1000.0,5.0,2.0,1.0,2.0,-4.0,0.0,0.0,160.0,100.0,68.0,34.5357380311,34.9659184187,35.9895407144,34.631849362,37.2652537587
1000.0,5.0,2.0,0.5,2.0,-4.0,0.0,0.0,165.0,100.0,68.0,37.5904566967,36.9014911862,36.6898412233,36.5394212727,37.4037988708
