n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,145.0,100.0,64.0,30.8395682186,30.6652451267,30.9372832358,30.8758703252,30.920638621
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,145.0,100.0,64.0,30.4072994286,31.0434604086,31.6908522551,30.9349804983,32.0235693436
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,145.0,100.0,64.0,32.9344588443,31.7080605321,30.5035445954,31.6565040294,31.8016343424
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,145.0,100.0,64.0,30.3294855889,30.6710898218,30.9024338821,30.970319224,30.5380653918
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,145.0,100.0,64.0,30.6268184588,31.7638587851,31.7854568425,31.0067122676,32.4247209591
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,150.0,100.0,64.0,30.3665234029,29.7431264895,29.5610706984,30.2272733975,29.7582287238
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,150.0,100.0,64.0,30.1188623314,29.4559536166,30.1242611743,29.0425892084,29.8946983714
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,150.0,100.0,64.0,30.5795722107,32.3151500663,29.9325770081,30.8417661661,30.62987387
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,150.0,100.0,64.0,29.0331971215,28.9031160424,31.2919914979,29.9839851938,30.972915762
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,150.0,100.0,64.0,31.7490147486,29.6484623019,32.2474028192,30.8411615208,28.9867982186
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,155.0,100.0,64.0,28.7197488438,28.7351956397,29.5850165604,28.857339695,28.9772951522
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,155.0,100.0,64.0,30.0660411406,29.1969277646,30.2941063358,29.7554801943,28.7714661624
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,155.0,100.0,64.0,28.9635381383,28.9294363592,30.3132278197,28.0681513031,29.2716220451
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,155.0,100.0,64.0,32.0611753227,28.6925068202,27.1628949555,29.9265097792,29.3612583926
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,155.0,100.0,64.0,28.8614317768,32.0256468349,28.5283916851,30.5975295233,30.3417598982
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,160.0,100.0,64.0,27.8041520215,27.1005480853,27.38302919,28.0350838909,27.4794523023
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,160.0,100.0,64.0,28.9207467164,28.7251504561,28.9561614967,28.8641072762,27.9756344948
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,160.0,100.0,64.0,28.9942170701,28.2559473155,30.3772218119,29.3239956181,29.8285712752
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,160.0,100.0,64.0,30.4959672701,28.9395947915,29.3553292197,29.6373546345,28.8071966513
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,160.0,100.0,64.0,27.2012130924,31.1113617955,30.2072883445,29.8826873608,28.3894833827
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,165.0,100.0,64.0,27.0104373403,26.2967479742,26.070979983,26.3537003845,26.457177065
500.0,5.0,2.0,0.4,2.0,-4.0,0.5,0.0,165.0,100.0,64.0,27.395921713,26.0840714065,26.5889796267,26.4918714319,28.2745164851
500.0,5.0,2.0,0.6,2.0,-4.0,0.5,0.0,165.0,100.0,64.0,28.666179451,28.5655178046,29.2916306701,27.520527717,28.9891677389
500.0,5.0,2.0,0.8,2.0,-4.0,0.5,0.0,165.0,100.0,64.0,27.5087170932,26.733208196,28.5196786719,25.2756133995,27.7635507676
500.0,5.0,2.0,1.0,2.0,-4.0,0.5,0.0,165.0,100.0,64.0,29.1566158548,29.7435338701,29.6196980829,26.8361495198,27.0094614691
500.0,5.0,2.0,0.2,2.0,-4.0,0.5,0.0,170.0,100.0,64.0,25.2163007195,25.7229963342,25.7387869447,26.2089796193,26.0722379891
