n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,64.0,50.9824806533,49.5593521289,49.3306650772,49.1841176043,49.3482005422
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,64.0,49.9159530272,49.5579227132,49.2335180936,49.2148182293,49.2138076036
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,64.0,47.9219972543,48.6381557364,47.3809608726,49.0434239551,48.2064710326
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,64.0,48.5508643113,48.8280993402,48.5330730801,47.2044591148,48.7376688525
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,64.0,46.8104420183,45.7174607498,46.760682269,48.2912315897,46.8070251289
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,64.0,46.5157647617,46.327644025,46.7552035729,47.2609011224,47.5865633443
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,64.0,46.6365723443,45.6049096207,45.5427255903,46.3584086021,45.6397672983
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,64.0,45.0922958276,45.0910302651,45.2491173865,45.0303529876,44.8099397914
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,64.0,45.0816153308,45.8191427097,44.6327671361,45.3632085118,43.9466272259
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,64.0,45.7134900965,44.2004848062,45.185401291,45.825781279,43.2661247646
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,64.0,45.3550626519,43.2528628641,43.5120070349,43.999618044,43.5149549459
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,66.0,57.8815370212,57.7606439962,58.2729529092,58.6479497338,57.5666572154
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,66.0,57.1972999024,58.5388940882,58.7719635345,57.0978406996,58.4145211246
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,66.0,55.9099679068,55.233601551,56.9001774038,58.1764641297,57.9668228933
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,66.0,55.4028991669,57.3848819763,56.9192634095,55.8185606341,57.1252909379
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,66.0,55.7570567759,54.2362425133,55.5817893717,55.9063195134,57.5126147705
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,66.0,55.4339109575,55.4500473943,55.6124616424,54.5202808486,56.0967239259
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,66.0,54.0723684416,55.1253704193,55.7596929802,55.5556612718,55.3598603751
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,66.0,54.2500380778,54.14675365,53.6867348959,54.9845723645,54.2335663319
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,66.0,54.798912966,52.3426779532,54.0719664242,54.0052398745,53.1340423655
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,66.0,52.4742389305,53.34180418,54.016414657,54.9731081088,54.2352452162
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,66.0,53.1941587209,52.1709542576,52.514464412,52.5211765151,52.6972151871
500.0,5.0,2.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,68.0,56.4045752184,58.1329321385,58.2877578922,57.6626562183,58.7921421144
