n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,270.0,100.0,64.0,14.897655095,14.9413158489,14.4759382158,14.2545139186,15.0099400864
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,275.0,100.0,64.0,14.1689024673,13.1693219865,14.1822611303,14.9987342192,15.3319609867
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,280.0,100.0,64.0,14.2934736349,14.2492010179,14.9774114364,15.0747240721,15.2976868688
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,285.0,100.0,64.0,14.712652731,13.8345188515,13.7581134363,13.774608462,13.2280270356
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,290.0,100.0,64.0,13.1212903916,12.2661510393,14.2758840393,12.9715751858,12.7309781163
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,295.0,100.0,64.0,13.0830843962,12.8479491747,13.0869048225,13.6308948428,13.8462143063
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,300.0,100.0,64.0,13.9178285631,12.5685506893,12.8721902444,11.9515381792,12.0437958013
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,305.0,100.0,64.0,13.338229386,12.3182783759,13.3083035203,13.0046850985,12.6683901874
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,310.0,100.0,64.0,11.7820284221,12.6592550491,12.8415152521,12.1309554327,13.4474868541
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,315.0,100.0,64.0,12.4346321553,10.9856663678,12.3974177397,10.9765629111,11.3268899143
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,320.0,100.0,64.0,12.1303581845,12.1305619548,11.2620602557,12.1816816957,11.6125846106
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,325.0,100.0,64.0,11.388264575,12.8699826656,11.5952890306,11.7291503226,11.4090140043
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,330.0,100.0,64.0,10.3375640445,11.0182324542,11.3636800745,11.2568399418,9.98273582567
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,270.0,100.0,66.0,19.0705989661,18.3644169911,19.7904277417,19.0495566249,18.7984635634
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,275.0,100.0,66.0,17.7061319952,18.3748148935,17.9568663149,18.2102255539,18.5571650413
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,280.0,100.0,66.0,17.8848006984,18.6300266748,18.3014715889,17.9156114676,18.4231728784
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,285.0,100.0,66.0,17.542727562,17.6830750895,18.4457874729,16.7836742661,16.1536737216
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,290.0,100.0,66.0,17.5509837011,16.3634075028,19.8573765363,16.869860612,18.1445594452
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,295.0,100.0,66.0,16.4808826281,16.2823509232,15.8501135918,17.1633343966,15.7284311814
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,300.0,100.0,66.0,17.1503651724,17.5278370038,15.9502739667,15.8751777748,15.5881002082
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,305.0,100.0,66.0,16.533631736,16.586338891,16.2552859795,15.3021511145,15.2947766865
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,310.0,100.0,66.0,15.1853481617,16.3164036187,15.7428152698,15.0919595473,14.2610231784
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,315.0,100.0,66.0,14.457047045,15.4985643688,15.3108617683,15.2743866339,15.3587047265
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,320.0,100.0,66.0,15.2237047383,14.1831806436,15.0876522975,15.7692614202,13.892315129
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,325.0,100.0,66.0,14.4616000826,14.5234244855,14.7281684092,15.466176004,13.9101347437
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,330.0,100.0,66.0,14.4429981755,14.9081578143,13.9834979806,14.2751897134,14.8479130692
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,270.0,100.0,68.0,24.1201088919,23.6597849137,22.1783979123,22.6065243573,21.2748568075
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,275.0,100.0,68.0,22.2895550357,21.7425366245,22.5998663313,21.6903207875,21.6245276744
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,280.0,100.0,68.0,21.5874020739,21.7958430583,22.4544669029,22.5032206565,21.869843032
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,285.0,100.0,68.0,20.2270721162,21.6123454101,21.723360042,21.1219158714,21.5883290252
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,290.0,100.0,68.0,20.6708237432,20.6991726309,21.1346998229,20.8841936071,21.6316281896
500.0,5.0,2.0,0.5,2.0,-4.0,0.5,0.0,295.0,100.0,68.0,20.6637847112,20.1223983463,21.6872174477,19.3642435312,18.174047888
