n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,70.0,40.1179849769,40.8844963565,40.5852758067,38.7942875278,41.5613806832
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,70.0,40.9530864873,37.4871497407,38.4232548943,39.4143621147,36.7274548564
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,70.0,37.5324134875,38.1036292071,38.2143617568,39.027999425,36.4281546315
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,70.0,36.50823359,37.3109180694,36.7249500328,36.2265297366,38.3060180126
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,70.0,37.0951085221,35.9133370298,36.8109407264,38.0622616414,36.5145293491
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,70.0,34.8782700973,37.1104825153,37.4005973698,36.5200176944,35.5982866602
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,72.0,46.6175634592,48.6917244766,47.4911110649,46.8683806814,46.2811723539
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,72.0,45.3337762349,46.0533946422,46.3379707045,46.6918952257,46.3913996758
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,72.0,45.6221413837,46.2765311048,45.7924995597,44.2900213246,44.4848208313
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,72.0,42.9956337231,43.9051517942,46.3152191921,42.3810323229,44.0535196107
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,72.0,45.6604041903,42.2198807592,42.881378302,42.4156860846,41.7765360228
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,72.0,43.2359343287,43.0402309721,42.5394300563,42.2079661435,42.6074491501
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,74.0,51.7123574787,52.4905507102,53.1427732072,53.1520258938,53.7719546682
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,74.0,52.3251175367,52.9541307762,51.2847442055,52.0593693399,53.0154303461
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,74.0,52.8705480989,51.2455750806,53.9913790105,52.830899514,54.0732072411
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,74.0,51.2383970845,52.8021010213,54.0792668434,52.7002875276,51.4236831485
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,74.0,50.7829266659,52.2492525327,52.2407787262,49.308427652,52.2486565626
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,74.0,49.9443700883,50.1148954103,49.4385957225,48.0373944761,51.5549010587
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,76.0,60.9103165704,60.7683015908,58.121157349,58.297317414,59.9015998485
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,76.0,58.3297912103,57.8967538033,60.4323265678,59.7259933314,59.9653937129
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,450.0,100.0,76.0,58.8907499096,58.2609953046,58.8782612972,60.4260610329,57.8361642568
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,460.0,100.0,76.0,57.1342791572,57.097757105,58.4621293656,58.3471224111,58.2721677445
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,470.0,100.0,76.0,55.5504414264,56.5565256103,59.1395719056,55.3032652694,56.8183183261
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,480.0,100.0,76.0,56.7586527742,57.2192735146,54.2102846777,56.798639977,57.0729224862
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,430.0,100.0,78.0,66.1993160117,64.9925649372,65.985449638,64.7500325865,64.2976627499
80.0,5.0,2.0,0.2,2.0,-2.0,0.6,0.5,440.0,100.0,78.0,65.4728414858,63.112866315,64.308828338,66.3369288363,65.4045019987
